date,bitcoin_market_cap,total_market_cap,bitcoin_dominance,rolling_avg
2016-10-07,9804216114.139202,12373188081.071604,79.23759058619343,78.86482074048298
2016-10-08,9810492980.9568,12345851041.03492,79.46388587023169,78.8506952877117
2016-10-09,9781273121.407202,12313484476.520235,79.43546069399333,78.8393565049279
2016-10-10,9777010536.4368,12286062794.929216,79.57806092666262,78.84587029986713
2016-10-11,10198278180.0,12698960099.169603,80.30797876644147,78.87055006797706
2016-10-12,10118464865.982,12603046929.772236,80.28586200118882,78.90109870937565
2016-10-13,10103624253.93074,12599775073.287209,80.18892555750016,78.92830865053902
2016-10-14,10161283203.119995,12625056355.54159,80.48505224026064,78.96447139861863
2016-10-15,10146912931.2,12570821199.874594,80.71797991448025,79.01922295169328
2016-10-16,10195309967.356796,12701146427.254469,80.27078520628201,79.06268945737254
2016-10-17,10153229676.240002,12656672899.27635,80.22036878918247,79.10713378575944
2016-10-18,10122263522.22,12678574413.184582,79.83755264861443,79.1305515190409
2016-10-19,10011295942.5,12512506661.461626,80.01031458656222,79.17452786401762
2016-10-20,10013934081.66,12536382158.01226,79.87897908217394,79.23455573977328
2016-10-21,10033936840.324793,12573576595.35822,79.80177131166494,79.28489313962938
2016-10-22,10391486423.849998,12922080153.605753,80.41651421694964,79.35109998882824
2016-10-23,10353442542.796804,12883329160.323433,80.36309880742722,79.41666783040257
2016-10-24,10340849544.8076,12849633619.667965,80.47583184768507,79.48281682443466
2016-10-25,10403520542.2512,12902561989.531672,80.63143235190006,79.56063559109124
2016-10-26,10735427840.760002,13199897300.632591,81.32963155891765,79.64652376601036
2016-10-27,10896021892.289995,13336071938.97731,81.70338269130218,79.7518956096579
2016-10-28,10963463344.929598,13409311488.83179,81.76007660095549,79.87099403393262
2016-10-29,11409389607.07833,13649692589.329466,83.58715430703198,80.04469052480776
2016-10-30,11121149986.537748,13469064009.805134,82.5680981131416,80.18177547293887
2016-10-31,11143032475.877998,13456514839.544355,82.80771513833747,80.30780927998362
2016-11-01,11633474056.2,13923434010.779562,83.55319562108983,80.46439449241898
2016-11-02,11713747881.6912,14011471536.953367,83.60112534074504,80.62698139756291
2016-11-03,10947521327.777992,13225379620.756666,82.77661316123076,80.75621853080996
2016-11-04,11204614009.68,13544295594.889868,82.72570493741581,80.89420149388452
2016-11-05,11236368065.399996,13628699770.58612,82.4463687258756,81.01555038671458
2016-11-06,11367022667.714403,13730945171.72504,82.78397827355352,81.1337633096266
